H 0 
RY 1 1.6103391470724324
RZ 1 0.46512981164286926
RX 1 1.570798
RY 2 5.733270642885005
RZ 2 1.8961708776224317
RX 2 1.570798
CX 1 2
RZ 2 1.739842789264827
CX 1 2
RX 1 -1.570798
RX 2 -1.570798
CX 1 2
RZ 2 5.366168109251717
CX 1 2
RX 2 1.570798
RY 3 3.6972522855649115
RZ 3 3.557316755832066
RX 3 1.570798
CX 2 3
RZ 3 2.426777445466768
CX 2 3
RX 2 -1.570798
RX 3 -1.570798
CX 2 3
RZ 3 2.7162415525339267
CX 2 3
RY 2 2.10290123896341
CX 1 2
RY 2 -2.10290123896341
CX 1 2
RZ 2 1.6788873832161917
CX 1 2
RZ 2 -1.6788873832161917
CX 1 2
RX 3 1.570798
RY 4 0.5346404603525575
RZ 4 1.5256133387357353
RX 4 1.570798
CX 3 4
RZ 4 4.722653869578898
CX 3 4
RX 3 -1.570798
RX 4 -1.570798
CX 3 4
RZ 4 0.6502556764259475
CX 3 4
RY 3 1.9775318303658105
CX 2 3
RY 3 -1.9775318303658105
CX 2 3
RZ 3 2.215737803689466
CX 2 3
RZ 3 -2.215737803689466
CX 2 3
RX 4 1.570798
RY 5 4.888281489317203
RZ 5 2.6240307430082104
RX 5 1.570798
CX 4 5
RZ 5 4.990177998415583
CX 4 5
RX 4 -1.570798
RX 5 -1.570798
CX 4 5
RZ 5 2.5827643537126774
CX 4 5
RY 4 0.9020827442485507
CX 3 4
RY 4 -0.9020827442485507
CX 3 4
RZ 4 0.11907008589393078
CX 3 4
RZ 4 -0.11907008589393078
CX 3 4
RX 5 1.570798
RY 6 1.2903989156763098
RZ 6 5.90084079367967
RX 6 1.570798
CX 5 6
RZ 6 4.478581135900235
CX 5 6
RX 5 -1.570798
RX 6 -1.570798
CX 5 6
RZ 6 5.146233830561745
CX 5 6
RY 5 2.9295568229114863
CX 4 5
RY 5 -2.9295568229114863
CX 4 5
RZ 5 0.40691430067463175
CX 4 5
RZ 5 -0.40691430067463175
CX 4 5
RX 6 1.570798
RY 7 1.5956758375158044
RZ 7 4.831314634152772
RX 7 1.570798
CX 6 7
RZ 7 2.2580142662196683
CX 6 7
RX 6 -1.570798
RX 7 -1.570798
CX 6 7
RZ 7 1.714523644723365
CX 6 7
RY 6 2.9202049578370866
CX 5 6
RY 6 -2.9202049578370866
CX 5 6
RZ 6 0.15173344452100462
CX 5 6
RZ 6 -0.15173344452100462
CX 5 6
RX 7 1.570798
RY 8 5.352084011276614
RZ 8 4.156723463426866
RX 8 1.570798
CX 7 8
RZ 8 3.8516483537457438
CX 7 8
RX 7 -1.570798
RX 8 -1.570798
CX 7 8
RZ 8 4.544333063654781
CX 7 8
RY 7 0.6652660260492049
CX 6 7
RY 7 -0.6652660260492049
CX 6 7
RZ 7 2.605308109501855
CX 6 7
RZ 7 -2.605308109501855
CX 6 7
RX 8 1.570798
RY 9 5.670630445772635
RZ 9 2.3673865877169797
RX 9 1.570798
CX 8 9
RZ 9 3.270490831601154
CX 8 9
RX 8 -1.570798
RX 9 -1.570798
CX 8 9
RZ 9 1.3556035404772309
CX 8 9
RY 8 0.5802213832085433
CX 7 8
RY 8 -0.5802213832085433
CX 7 8
RZ 8 2.5764640837974233
CX 7 8
RZ 8 -2.5764640837974233
CX 7 8
RX 9 1.570798
RY 10 5.90073424059662
RZ 10 1.160174357118218
RX 10 1.570798
CX 9 10
RZ 10 0.2598535501431414
CX 9 10
RX 9 -1.570798
RX 10 -1.570798
CX 9 10
RZ 10 2.16420493080376
CX 9 10
RY 9 2.60742992660059
CX 8 9
RY 9 -2.60742992660059
CX 8 9
RZ 9 0.1885795108177205
CX 8 9
RZ 9 -0.1885795108177205
CX 8 9
RX 10 1.570798
RY 11 0.22346276531339243
RZ 11 3.640106207660098
RX 11 1.570798
CX 10 11
RZ 11 0.48851233360408436
CX 10 11
RX 10 -1.570798
RX 11 -1.570798
CX 10 11
RZ 11 3.5518027781377386
CX 10 11
RY 10 0.2761268473013374
CX 9 10
RY 10 -0.2761268473013374
CX 9 10
RZ 10 0.3292662447160179
CX 9 10
RZ 10 -0.3292662447160179
CX 9 10
RX 11 1.570798
RY 12 1.0459421479103514
RZ 12 0.4316688327984752
RX 12 1.570798
CX 11 12
RZ 12 1.6978678099667743
CX 11 12
RX 11 -1.570798
RX 12 -1.570798
CX 11 12
RZ 12 5.379876063330471
CX 11 12
RY 11 1.5395138087590743
CX 10 11
RY 11 -1.5395138087590743
CX 10 11
RZ 11 2.1689630658378762
CX 10 11
RZ 11 -2.1689630658378762
CX 10 11
RX 12 1.570798
RY 13 4.0184985421670865
RZ 13 4.6809629126664625
RX 13 1.570798
CX 12 13
RZ 13 2.7276403131465705
CX 12 13
RX 12 -1.570798
RX 13 -1.570798
CX 12 13
RZ 13 5.641944750117724
CX 12 13
RY 12 2.3239676532654365
CX 11 12
RY 12 -2.3239676532654365
CX 11 12
RZ 12 1.7601130993603369
CX 11 12
RZ 12 -1.7601130993603369
CX 11 12
RX 13 1.570798
RY 14 4.155573897151536
RZ 14 2.775989636407087
RX 14 1.570798
CX 13 14
RZ 14 1.5388811783208896
CX 13 14
RX 13 -1.570798
RX 14 -1.570798
CX 13 14
RZ 14 0.09996082827770474
CX 13 14
RY 13 0.8872362033403476
CX 12 13
RY 13 -0.8872362033403476
CX 12 13
RZ 13 0.23916326863814005
CX 12 13
RZ 13 -0.23916326863814005
CX 12 13
RX 14 1.570798
RY 15 3.1192455764910063
RZ 15 4.353150134016345
RX 15 1.570798
CX 14 15
RZ 15 5.423002214905079
CX 14 15
RX 14 -1.570798
RX 15 -1.570798
CX 14 15
RZ 15 5.866327320914616
CX 14 15
RY 14 3.056548952479407
CX 13 14
RY 14 -3.056548952479407
CX 13 14
RZ 14 1.5530162851555551
CX 13 14
RZ 14 -1.5530162851555551
CX 13 14
RY 15 2.532222319040186
CX 14 15
RY 15 -2.532222319040186
CX 14 15
RZ 15 1.4558416151654363
CX 14 15
RZ 15 -1.4558416151654363
CX 14 15
RY 16 -2.1366350176533437
RZ 16 -1.0260749889965295
CX 16 1
H 16 
CX 1 16
RZ 16 -0.785399
CX 0 16
RZ 16 0.785399
CX 1 16
RZ 1 0.785399
RZ 16 -0.785399
CX 0 16
CX 0 1
RZ 0 0.785399
RZ 1 -0.785399
CX 0 1
RZ 16 0.785399
H 16 
CX 16 1
RY 17 -1.1809377561065213
RZ 17 -2.0418607939393714
CX 17 2
H 17 
CX 2 17
RZ 17 -0.785399
CX 0 17
RZ 17 0.785399
CX 2 17
RZ 2 0.785399
RZ 17 -0.785399
CX 0 17
CX 0 2
RZ 0 0.785399
RZ 2 -0.785399
CX 0 2
RZ 17 0.785399
H 17 
CX 17 2
RY 18 2.9643345456485717
RZ 18 1.1300166884662586
CX 18 3
H 18 
CX 3 18
RZ 18 -0.785399
CX 0 18
RZ 18 0.785399
CX 3 18
RZ 3 0.785399
RZ 18 -0.785399
CX 0 18
CX 0 3
RZ 0 0.785399
RZ 3 -0.785399
CX 0 3
RZ 18 0.785399
H 18 
CX 18 3
RY 19 -1.126569066682677
RZ 19 -0.4206931014987427
CX 19 4
H 19 
CX 4 19
RZ 19 -0.785399
CX 0 19
RZ 19 0.785399
CX 4 19
