H 0 
H 1 
H 2 
H 3 
H 4 
H 5 
H 6 
H 7 
H 8 
H 9 
H 10 
H 11 
H 12 
H 13 
H 14 
H 15 
H 16 
H 17 
H 18 
H 19 
H 20 
H 21 
H 22 
H 23 
H 24 
H 25 
H 26 
H 27 
H 28 
H 29 
H 30 
H 31 
RZ 0 -1.4288629355350433
RZ 1 1.4288629355350433
RZ 1 1.4288629355350433
CX 0 1
RZ 1 -1.4288629355350433
CX 0 1
RZ 2 1.6751132249747371
RZ 3 -1.6751132249747371
RZ 3 -1.6751132249747371
CX 2 3
RZ 3 1.6751132249747371
CX 2 3
RZ 4 1.0373497327986763
RZ 5 -1.0373497327986763
RZ 5 -1.0373497327986763
CX 4 5
RZ 5 1.0373497327986763
CX 4 5
RZ 6 1.3044758015878566
RZ 7 -1.3044758015878566
RZ 7 -1.3044758015878566
CX 6 7
RZ 7 1.3044758015878566
CX 6 7
RZ 8 0.7413099016315154
RZ 9 -0.7413099016315154
RZ 9 -0.7413099016315154
CX 8 9
RZ 9 0.7413099016315154
CX 8 9
RZ 10 0.8630932958039934
RZ 11 -0.8630932958039934
RZ 11 -0.8630932958039934
CX 10 11
RZ 11 0.8630932958039934
CX 10 11
RZ 12 -1.1169214266877088
RZ 13 1.1169214266877088
RZ 13 1.1169214266877088
CX 12 13
RZ 13 -1.1169214266877088
CX 12 13
RZ 14 -0.9111181056833737
RZ 15 0.9111181056833737
RZ 15 0.9111181056833737
CX 14 15
RZ 15 -0.9111181056833737
CX 14 15
RZ 16 -1.1587231733943724
RZ 17 1.1587231733943724
RZ 17 1.1587231733943724
CX 16 17
RZ 17 -1.1587231733943724
CX 16 17
RZ 18 0.7233907163245328
RZ 19 -0.7233907163245328
RZ 19 -0.7233907163245328
CX 18 19
RZ 19 0.7233907163245328
CX 18 19
RZ 20 1.9546080612682735
RZ 21 -1.9546080612682735
RZ 21 -1.9546080612682735
CX 20 21
RZ 21 1.9546080612682735
CX 20 21
RZ 22 -0.36618038999006775
RZ 23 0.36618038999006775
RZ 23 0.36618038999006775
CX 22 23
RZ 23 -0.36618038999006775
CX 22 23
RZ 24 1.8754904418706655
RZ 25 -1.8754904418706655
RZ 25 -1.8754904418706655
CX 24 25
RZ 25 1.8754904418706655
CX 24 25
RZ 26 -0.011943040779078817
RZ 27 0.011943040779078817
RZ 27 0.011943040779078817
CX 26 27
RZ 27 -0.011943040779078817
CX 26 27
RZ 28 0.12756421827519837
RZ 29 -0.12756421827519837
RZ 29 -0.12756421827519837
CX 28 29
RZ 29 0.12756421827519837
CX 28 29
RZ 30 -0.8839187539147115
RZ 31 0.8839187539147115
RZ 31 0.8839187539147115
CX 30 31
RZ 31 -0.8839187539147115
CX 30 31
RZ 1 0.8355633003829719
RZ 2 -0.8355633003829719
RZ 2 -0.8355633003829719
CX 1 2
RZ 2 0.8355633003829719
CX 1 2
RZ 3 -0.7822236169633303
RZ 4 0.7822236169633303
RZ 4 0.7822236169633303
CX 3 4
RZ 4 -0.7822236169633303
CX 3 4
RZ 5 -1.005791542641552
RZ 6 1.005791542641552
RZ 6 1.005791542641552
CX 5 6
RZ 6 -1.005791542641552
CX 5 6
RZ 7 -1.219491413495167
RZ 8 1.219491413495167
RZ 8 1.219491413495167
CX 7 8
RZ 8 -1.219491413495167
CX 7 8
RZ 9 1.471938752331683
RZ 10 -1.471938752331683
RZ 10 -1.471938752331683
CX 9 10
RZ 10 1.471938752331683
CX 9 10
RZ 11 -0.9224651929497094
RZ 12 0.9224651929497094
RZ 12 0.9224651929497094
CX 11 12
RZ 12 -0.9224651929497094
CX 11 12
RZ 13 -1.5420290745682639
RZ 14 1.5420290745682639
RZ 14 1.5420290745682639
CX 13 14
RZ 14 -1.5420290745682639
CX 13 14
RZ 15 0.12770176553115853
RZ 16 -0.12770176553115853
RZ 16 -0.12770176553115853
CX 15 16
RZ 16 0.12770176553115853
CX 15 16
RZ 17 0.6739124454223555
RZ 18 -0.6739124454223555
RZ 18 -0.6739124454223555
CX 17 18
RZ 18 0.6739124454223555
CX 17 18
RZ 19 1.0798858260463224
RZ 20 -1.0798858260463224
RZ 20 -1.0798858260463224
CX 19 20
RZ 20 1.0798858260463224
CX 19 20
RZ 21 1.771290314978442
RZ 22 -1.771290314978442
RZ 22 -1.771290314978442
CX 21 22
RZ 22 1.771290314978442
CX 21 22
RZ 23 0.42500554695923887
RZ 24 -0.42500554695923887
RZ 24 -0.42500554695923887
CX 23 24
RZ 24 0.42500554695923887
CX 23 24
RZ 25 0.759305116530236
RZ 26 -0.759305116530236
RZ 26 -0.759305116530236
CX 25 26
RZ 26 0.759305116530236
CX 25 26
RZ 27 0.5639145271339898
RZ 28 -0.5639145271339898
RZ 28 -0.5639145271339898
CX 27 28
RZ 28 0.5639145271339898
CX 27 28
RZ 29 0.3641366121666678
RZ 30 -0.3641366121666678
RZ 30 -0.3641366121666678
CX 29 30
RZ 30 0.3641366121666678
CX 29 30
H 0 
RZ 0 0.0
H 0 
RZ 0 0.0
H 1 
RZ 1 0.0
H 1 
RZ 1 0.0
H 2 
RZ 2 0.0
H 2 
RZ 2 0.0
H 3 
RZ 3 0.0
H 3 
RZ 3 0.0
H 4 
RZ 4 0.0
H 4 
RZ 4 0.0
H 5 
RZ 5 0.0
H 5 
RZ 5 0.0
H 6 
RZ 6 0.0
H 6 
RZ 6 0.0
H 7 
RZ 7 0.0
H 7 
RZ 7 0.0
H 8 
RZ 8 0.0
H 8 
RZ 8 0.0
H 9 
RZ 9 0.0
H 9 
RZ 9 0.0
H 10 
RZ 10 0.0
H 10 
RZ 10 0.0
H 11 
RZ 11 0.0
H 11 
RZ 11 0.0
H 12 
RZ 12 0.0
H 12 
RZ 12 0.0
H 13 
RZ 13 0.0
H 13 
RZ 13 0.0
H 14 
RZ 14 0.0
H 14 
RZ 14 0.0
H 15 
RZ 15 0.0
H 15 
RZ 15 0.0
H 16 
RZ 16 0.0
H 16 
RZ 16 0.0
H 17 
RZ 17 0.0
H 17 
RZ 17 0.0
H 18 
RZ 18 0.0
H 18 
RZ 18 0.0
H 19 
RZ 19 0.0
H 19 
RZ 19 0.0
H 20 
RZ 20 0.0
H 20 
RZ 20 0.0
H 21 
RZ 21 0.0
H 21 
RZ 21 0.0
H 22 
RZ 22 0.0
H 22 
RZ 22 0.0
H 23 
RZ 23 0.0
H 23 
RZ 23 0.0
H 24 
RZ 24 0.0
H 24 
RZ 24 0.0
H 25 
RZ 25 0.0
H 25 
RZ 25 0.0
H 26 
RZ 26 0.0
H 26 
RZ 26 0.0
H 27 
RZ 27 0.0
H 27 
RZ 27 0.0
H 28 
RZ 28 0.0
H 28 
RZ 28 0.0
H 29 
RZ 29 0.0
H 29 
RZ 29 0.0
H 30 
RZ 30 0.0
H 30 
RZ 30 0.0
H 31 
RZ 31 0.0
H 31 
RZ 31 0.0
