H 0 
H 1 
H 2 
H 3 
H 4 
H 5 
H 6 
H 7 
H 8 
H 9 
H 10 
H 11 
H 12 
H 13 
H 14 
H 15 
H 16 
H 17 
H 18 
H 19 
H 20 
H 21 
H 22 
H 23 
H 24 
H 25 
H 26 
H 27 
H 28 
H 29 
H 30 
H 31 
RZ 0 0.691790751152157
RZ 1 0.5838299472524424
RZ 2 0.2566118509940861
RZ 3 0.9092204878422305
RZ 4 1.4132423599104802
RZ 5 1.781209011421255
RZ 6 0.9264771966395952
RZ 7 0.9525751382706266
RZ 8 2.53126807574355
RZ 9 2.337302293139793
RZ 10 2.9899213815638817
RZ 11 2.7802019192282303
RZ 12 0.9874904429851936
RZ 13 2.1789957450301682
RZ 14 2.772924705256561
RZ 15 1.3481787428059073
RZ 16 1.6398693162413054
RZ 17 2.5688995404797548
RZ 18 1.713960294089136
RZ 19 2.300602345934943
RZ 20 0.7430670942409691
RZ 21 2.1020323176431033
RZ 22 1.0022468791024546
RZ 23 2.1348432523558896
RZ 24 2.9754493154797537
RZ 25 0.8848178472670266
RZ 26 0.522522763086049
RZ 27 2.3216219963513067
RZ 28 2.170606142681877
RZ 29 2.0952868184136433
RZ 30 2.8046704489983316
RZ 31 1.2687211176482716
CX 0 1
RZ 1 0.10017195253198688
CX 0 1
CX 1 2
RZ 2 1.7065134364479564
CX 1 2
CX 2 3
RZ 3 0.605977685063202
CX 2 3
CX 3 4
RZ 4 1.3575476382599994
CX 3 4
CX 4 5
RZ 5 1.2179014358741929
CX 4 5
CX 5 6
RZ 6 1.7752945510980243
CX 5 6
CX 6 7
RZ 7 0.563418458251528
CX 6 7
CX 7 8
RZ 8 0.2959398085774848
CX 7 8
CX 8 9
RZ 9 0.6243783027126142
CX 8 9
CX 9 10
RZ 10 1.6710861982482148
CX 9 10
CX 10 11
RZ 11 0.15861980646797724
CX 10 11
CX 11 12
RZ 12 2.3813383578194505
CX 11 12
CX 12 13
RZ 13 2.478299990493893
CX 12 13
CX 13 14
RZ 14 1.006633620812857
CX 13 14
CX 14 15
RZ 15 1.6988257541947287
CX 14 15
CX 15 16
RZ 16 0.4665149407250228
CX 15 16
CX 16 17
RZ 17 2.9511257139916798
CX 16 17
CX 17 18
RZ 18 2.195538809332959
CX 17 18
CX 18 19
RZ 19 1.0188961599501019
CX 18 19
CX 19 20
RZ 20 2.621173956918297
CX 19 20
CX 20 21
RZ 21 2.1183905096965265
CX 20 21
CX 21 22
